sn  hostname    ip  batch   idc status
6CU33021PR  xen-b0b1317-26-b.zue    10.228.188.113  zue-1128台B2    ZUE ok

6CU33021PS  xen-b0b1318-26-b.zue    10.228.188.114  zue-1128台B2    ZUE ok

6CU33021PT  xen-b0b1319-26-b.zue    10.228.188.115  zue-1128台B2    ZUE ok

6CU33021PV  xen-b0b1320-26-b.zue    10.228.188.116  zue-1128台B2    ZUE ok

6CU33021PW  xen-b0b1401-26-b.zue    10.228.188.117  zue-1128台B2    ZUE ok

6CU33021PX  xen-b0b1402-26-b.zue    10.228.188.118  zue-1128台B2    ZUE ok

6CU33021PY  xen-b0b1403-26-b.zue    10.228.188.119  zue-1128台B2    ZUE ok

6CU33021PZ  xen-b0b1404-26-b.zue    10.228.188.120  zue-1128台B2    ZUE ok

6CU33021Q0  xen-b0b1405-26-b.zue    10.228.188.121  zue-1128台B2    ZUE ok

6CU33021Q1  xen-b0b1406-26-b.zue    10.228.188.122  zue-1128台B2    ZUE ok

6CU33021Q2  xen-b0b1407-26-b.zue    10.228.188.123  zue-1128台B2    ZUE ok

6CU33021Q3  xen-b0b1408-26-b.zue    10.228.188.124  zue-1128台B2    ZUE ok

6CU33021Q4  xen-b0b1409-26-b.zue    10.228.188.125  zue-1128台B2    ZUE ok

6CU33021Q5  xen-b0b1410-26-b.zue    10.228.188.126  zue-1128台B2    ZUE ok

6CU33021Q6  xen-b0b1411-26-b.zue    10.228.188.127  zue-1128台B2    ZUE ok

6CU33021Q7  xen-b0b1412-26-b.zue    10.228.188.128  zue-1128台B2    ZUE 

6CU33021Q8  xen-b0b1413-26-b.zue    10.228.188.129  zue-1128台B2    ZUE ok

6CU33021Q9  xen-b0b1414-26-b.zue    10.228.188.130  zue-1128台B2    ZUE ok

6CU33021QB  xen-b0b1415-26-b.zue    10.228.188.131  zue-1128台B2    ZUE ok

6CU33021QC  xen-b0b1416-26-b.zue    10.228.188.132  zue-1128台B2    ZUE ok

6CU33021QD  xen-b0b1417-26-b.zue    10.228.188.133  zue-1128台B2    ZUE ok

6CU33021QF  xen-b0b1418-26-b.zue    10.228.188.134  zue-1128台B2    ZUE ok

6CU33021QG  xen-b0b1419-26-b.zue    10.228.188.135  zue-1128台B2    ZUE ok

6CU33021QH  xen-b0b1420-26-b.zue    10.228.188.136  zue-1128台B2    ZUE ok

6CU33021QJ  xen-b0b1501-27-b.zue    10.228.188.137  zue-1128台B2    ZUE ok

6CU33021QK  xen-b0b1502-27-b.zue    10.228.188.138  zue-1128台B2    ZUE 

6CU33021QL  xen-b0b1503-27-b.zue    10.228.188.139  zue-1128台B2    ZUE 

6CU33021QM  xen-b0b1504-27-b.zue    10.228.188.140  zue-1128台B2    ZUE 

6CU33021QN  xen-b0b1505-27-b.zue    10.228.188.141  zue-1128台B2    ZUE 

6CU33021QP  xen-b0b1506-27-b.zue    10.228.188.142  zue-1128台B2    ZUE 

6CU33021QQ  xen-b0b1507-27-b.zue    10.228.188.143  zue-1128台B2    ZUE 

6CU33021QR  xen-b0b1508-27-b.zue    10.228.188.144  zue-1128台B2    ZUE 

6CU33021QS  xen-b0b1509-27-b.zue    10.228.188.145  zue-1128台B2    ZUE 

6CU33021QT  xen-b0b1510-27-b.zue    10.228.188.146  zue-1128台B2    ZUE 

6CU33021QV  xen-b0b1511-27-b.zue    10.228.188.147  zue-1128台B2    ZUE 

6CU33021QW  xen-b0b1512-27-b.zue    10.228.188.148  zue-1128台B2    ZUE 

6CU33021QX  xen-b0b1513-27-b.zue    10.228.188.149  zue-1128台B2    ZUE 

6CU33021QY  xen-b0b1514-27-b.zue    10.228.188.150  zue-1128台B2    ZUE 

6CU33021QZ  xen-b0b1515-27-b.zue    10.228.188.151  zue-1128台B2    ZUE 

6CU33021R0  xen-b0b1516-27-b.zue    10.228.188.152  zue-1128台B2    ZUE 

6CU33021R1  xen-b0b1517-27-b.zue    10.228.188.153  zue-1128台B2    ZUE 

6CU33021R2  xen-b0b1518-27-b.zue    10.228.188.154  zue-1128台B2    ZUE 

6CU33021R3  xen-b0b1519-27-b.zue    10.228.188.155  zue-1128台B2    ZUE 

6CU33021R4  xen-b0b1520-27-b.zue    10.228.188.156  zue-1128台B2    ZUE 

6CU33021R5  xen-b0b1601-27-b.zue    10.228.188.157  zue-1128台B2    ZUE 

6CU33021R6  xen-b0b1602-27-b.zue    10.228.188.158  zue-1128台B2    ZUE 

6CU33021R7  xen-b0b1603-27-b.zue    10.228.188.159  zue-1128台B2    ZUE 

6CU33021R8  xen-b0b1604-27-b.zue    10.228.188.160  zue-1128台B2    ZUE 

6CU33021R9  xen-b0b1605-27-b.zue    10.228.188.161  zue-1128台B2    ZUE 

6CU33021RB  xen-b0b1606-27-b.zue    10.228.188.162  zue-1128台B2    ZUE 

6CU33021RC  xen-b0b1607-27-b.zue    10.228.188.163  zue-1128台B2    ZUE 

6CU33021RD  xen-b0b1608-27-b.zue    10.228.188.164  zue-1128台B2    ZUE 

6CU33021RF  xen-b0b1609-27-b.zue    10.228.188.165  zue-1128台B2    ZUE 

6CU33021RG  xen-b0b1610-27-b.zue    10.228.188.166  zue-1128台B2    ZUE 

6CU33021RH  xen-b0b1611-27-b.zue    10.228.188.167  zue-1128台B2    ZUE 

6CU33021RJ  xen-b0b1612-27-b.zue    10.228.188.168  zue-1128台B2    ZUE 

6CU33021RK  xen-b0b1613-27-b.zue    10.228.188.169  zue-1128台B2    ZUE 

6CU33021RL  xen-b0b1614-27-b.zue    10.228.188.170  zue-1128台B2    ZUE 

6CU33021RM  xen-b0b1615-27-b.zue    10.228.188.171  zue-1128台B2    ZUE 

